num,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity
72,0z1b34WikhOH9ZxU8QDWcv,One Headlight,The Wallflowers,['The Wallflowers'],0.701,0.539,2,-8.968,1,0.000655,0.005,0.0589,0.752,107.531,312627,4,71
73,2GiJYvgVaD2HtM8GqD9EgQ,Electric Love,BØRNS,['BØRNS'],0.611,0.797,6,-7.627,0,0.00543,0.00137,0.26,0.518,120.041,218107,4,84
74,3yGZzSxHvvQKwMsAtFfNF5,stupid mistakes,lovelytheband,['lovelytheband'],0.697,0.713,0,-6.567,1,0.133,0.00862,0.23,0.529,128.974,234419,4,39
75,08BwE47bKpz62bfSiDXO2w,Chit Chat,Beach Weather,['Beach Weather'],0.514,0.978,11,-2.779,0,0.00025,0.168,0.328,0.966,142.122,200207,4,53
76,42CSNROh0FNSx04HxpXyue,Three-Thirty,AJR,['AJR'],0.66,0.682,6,-4.297,0,0.31,0.0,0.333,0.675,96.029,210284,4,51
77,0yi1iSwJo4IwSpXFOyH2bx,High Dive,Andrew McMahon in the Wilderness,['Andrew McMahon in the Wilderness'],0.564,0.799,0,-6.572,0,0.00384,0.0,0.0793,0.793,162.968,227204,4,44
78,3tZwKujD64Ad6vlDVxZOrg,Dark Blue - 2015 Remastered,Jack's Mannequin,"[""Jack's Mannequin""]",0.323,0.936,3,-4.505,1,0.00656,0.0,0.0972,0.326,163.124,251533,4,53
79,7FJvQbDhQqIzNAMnQ9cf0K,Panic Vertigo,The Wrecks,['The Wrecks'],0.466,0.818,6,-7.317,1,0.00145,0.0,0.123,0.588,134.907,209897,4,42
80,17QodENDMk3o1nPgPqfs3Y,Your Surrender,Neon Trees,['Neon Trees'],0.45,0.883,7,-4.929,1,0.00744,0.0,0.388,0.441,135.092,220853,4,34
81,1VRwenDZJdvZygfh7w7Ph3,Wicked Heart,Sublime With Rome,['Sublime With Rome'],0.368,0.909,11,-2.318,0,0.00524,0.000413,0.209,0.805,84.377,198276,4,43
82,3IQF4xCQUPicbA4hWfTxPo,I Lived,OneRepublic,['OneRepublic'],0.593,0.851,9,-5.456,1,0.0683,0.0,0.271,0.344,119.987,234547,4,70
83,5jvgec3P4jyoZUPTy2pWDR,Line Without a Hook,Ricky Montgomery,['Ricky Montgomery'],0.432,0.652,8,-4.969,1,0.262,0.0,0.258,0.507,190.028,249587,3,42
84,21xou84xCn9aF4z2N5GzTK,Life's Too Short,Wild Party,['Wild Party'],0.524,0.831,6,-5.25,1,0.000965,0.0,0.0904,0.458,93.003,221627,4,46
85,4CZBAWzXRo8pHQN6fckQvN,Bad Habits,The Federal Empire,['The Federal Empire'],0.309,0.869,2,-3.298,1,0.0136,0.0,0.0404,0.454,111.614,258000,4,49
